source_id,title,handle,vendor,product_type,price_min,price_max,currency,tags,options,description,url,image_url
7230397906987,BENU AstroGem Fountain Pen - Apollo,benu-astrogem-fountain-pen-apollo,BENU,Fountain Pens,175.0,175.0,USD,"[""bis-hidden"", ""HideOOS"", ""Pens"", ""Products"", ""Showstopper Pens"", ""Sparkle""]","{""Nib Size"": [""Fine"", ""Medium"", ""Broad""]}","<p>This BENU AstroGem fountain pen features a vibrant blue base with red glitter patches throughout. It has a silver Schmidt #6 stainless steel nib, a translucent red resin grip and centerband, a silver clip, and pushes to post.</p>
<p>It comes with a standard international converter and one long blue ink cartridge. You can also fill the whole barrel with ink to use as an eyedropper pen with a massive ink capacity.</p>
<p>From BENU:</p>
<p>BENU introduces its new collection of fountain pens – AstroGem. This collection was inspired by the shape of the interstellar asteroid, Oumuamua, and the numerous social media comments suggesting that the asteroid has a “BENU-like vibe”. Featuring 7 unique designs, each named after a famous asteroid with edgy shapes and uneven facets, these pens are own interpretation of asteroids- proving that even interstellar objects can be flamboyant and colorful if designed by BENU!</p>
<p><i>We do our best to photograph the pens to show how they will appear in person, but due to the nature of the material, there will be some variation in the pattern seen here. This adds an element of uniqueness to the pen, with no two patterns being exactly the same. We cannot honor special requests.</i></p>
<p>Click to shop all compatible <a title=""Short Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/short-standard-international-cartridges"" target=""_blank"">short</a> or <a title=""Long Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/long-standard-international-cartridges"" target=""_blank"">long</a> standard international ink cartridges.</p>",https://www.gouletpens.com/products/benu-astrogem-fountain-pen-apollo,https://cdn.shopify.com/s/files/1/2603/2528/files/Benu-AstroGem-Apollo-OW-2_281b4c47-7aac-4263-9a7c-e2879a70c3a8.jpg?v=1765312406
7230433230891,BENU AstroGem Fountain Pen - Juno,benu-astrogem-fountain-pen-juno,BENU,Fountain Pens,175.0,175.0,USD,"[""bis-hidden"", ""HideOOS"", ""Pens"", ""Products"", ""Showstopper Pens"", ""Sparkle"", ""Valentines""]","{""Nib Size"": [""Fine"", ""Medium""]}","<p>This BENU AstroGem fountain pen features a purple base with pink glitter patches throughout. It has a silver Schmidt #6 stainless steel nib, a translucent pink resin grip and centerband, a silver clip, and pushes to post.</p>
<p>It comes with a standard international converter and one long blue ink cartridge. You can also fill the whole barrel with ink to use as an eyedropper pen with a massive ink capacity.</p>
<p>From BENU:</p>
<p>BENU introduces its new collection of fountain pens – AstroGem. This collection was inspired by the shape of the interstellar asteroid, Oumuamua, and the numerous social media comments suggesting that the asteroid has a “BENU-like vibe”. Featuring 7 unique designs, each named after a famous asteroid with edgy shapes and uneven facets, these pens are own interpretation of asteroids- proving that even interstellar objects can be flamboyant and colorful if designed by BENU!</p>
<p><i>We do our best to photograph the pens to show how they will appear in person, but due to the nature of the material, there will be some variation in the pattern seen here. This adds an element of uniqueness to the pen, with no two patterns being exactly the same. We cannot honor special requests.</i></p>
<p>Click to shop all compatible <a title=""Short Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/short-standard-international-cartridges"" target=""_blank"">short</a> or <a title=""Long Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/long-standard-international-cartridges"" target=""_blank"">long</a> standard international ink cartridges.</p>",https://www.gouletpens.com/products/benu-astrogem-fountain-pen-juno,https://cdn.shopify.com/s/files/1/2603/2528/files/Benu-AstroGem-Juno-OW-2.jpg?v=1754944757
7230433624107,BENU AstroGem Fountain Pen - Klio,benu-astrogem-fountain-pen-klio,BENU,Fountain Pens,175.0,175.0,USD,"[""bis-hidden"", ""HideOOS"", ""Pens"", ""Products"", ""Showstopper Pens"", ""Sparkle""]","{""Nib Size"": [""Fine"", ""Medium"", ""Broad""]}","<p>This BENU AstroGem fountain pen features a deep teal base with purple glitter patches throughout. It has a silver Schmidt #6 stainless steel nib, a translucent glittering silver resin grip and centerband, a silver clip, and pushes to post.</p>
<p>It comes with a standard international converter and one long blue ink cartridge. You can also fill the whole barrel with ink to use as an eyedropper pen with a massive ink capacity.</p>
<p>From BENU:</p>
<p>BENU introduces its new collection of fountain pens – AstroGem. This collection was inspired by the shape of the interstellar asteroid, Oumuamua, and the numerous social media comments suggesting that the asteroid has a “BENU-like vibe”. Featuring 7 unique designs, each named after a famous asteroid with edgy shapes and uneven facets, these pens are own interpretation of asteroids- proving that even interstellar objects can be flamboyant and colorful if designed by BENU!</p>
<p><i>We do our best to photograph the pens to show how they will appear in person, but due to the nature of the material, there will be some variation in the pattern seen here. This adds an element of uniqueness to the pen, with no two patterns being exactly the same. We cannot honor special requests.</i></p>
<p>Click to shop all compatible <a title=""Short Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/short-standard-international-cartridges"" target=""_blank"">short</a> or <a title=""Long Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/long-standard-international-cartridges"" target=""_blank"">long</a> standard international ink cartridges.</p>",https://www.gouletpens.com/products/benu-astrogem-fountain-pen-klio,https://cdn.shopify.com/s/files/1/2603/2528/files/Benu-AstroGem-Klio-OW-2.jpg?v=1754944738
7230434902059,BENU AstroGem Fountain Pen - Leto,benu-astrogem-fountain-pen-leto,BENU,Fountain Pens,175.0,175.0,USD,"[""bis-hidden"", ""HideOOS"", ""Pens"", ""Products"", ""Showstopper Pens"", ""Sparkle""]","{""Nib Size"": [""Fine"", ""Medium"", ""Broad""]}","<p>This BENU AstroGem fountain pen features a swirling silver and black base with green glitter patches throughout. It has a silver Schmidt #6 stainless steel nib, a translucent green resin grip and centerband, a silver clip, and pushes to post.</p>
<p>It comes with a standard international converter and one long blue ink cartridge. You can also fill the whole barrel with ink to use as an eyedropper pen with a massive ink capacity.</p>
<p>From BENU:</p>
<p>BENU introduces its new collection of fountain pens – AstroGem. This collection was inspired by the shape of the interstellar asteroid, Oumuamua, and the numerous social media comments suggesting that the asteroid has a “BENU-like vibe”. Featuring 7 unique designs, each named after a famous asteroid with edgy shapes and uneven facets, these pens are own interpretation of asteroids- proving that even interstellar objects can be flamboyant and colorful if designed by BENU!</p>
<p><i>We do our best to photograph the pens to show how they will appear in person, but due to the nature of the material, there will be some variation in the pattern seen here. This adds an element of uniqueness to the pen, with no two patterns being exactly the same. We cannot honor special requests.</i></p>
<p>Click to shop all compatible <a title=""Short Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/short-standard-international-cartridges"" target=""_blank"">short</a> or <a title=""Long Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/long-standard-international-cartridges"" target=""_blank"">long</a> standard international ink cartridges.</p>",https://www.gouletpens.com/products/benu-astrogem-fountain-pen-leto,https://cdn.shopify.com/s/files/1/2603/2528/files/Benu-AstroGem-Leto-OW-2.jpg?v=1754944719
7230435983403,BENU AstroGem Fountain Pen - Midas,benu-astrogem-fountain-pen-midas,BENU,Fountain Pens,175.0,175.0,USD,"[""fall"", ""Pens"", ""Products"", ""Showstopper Pens"", ""Sparkle""]","{""Nib Size"": [""Fine"", ""Medium"", ""Broad""]}","<p>This BENU AstroGem fountain pen features a swirling green and burgundy base with bronze glitter patches throughout. It has a silver Schmidt #6 stainless steel nib, a translucent amber red resin grip and centerband, a silver clip, and pushes to post.</p>
<p>It comes with a standard international converter and one long blue ink cartridge. You can also fill the whole barrel with ink to use as an eyedropper pen with a massive ink capacity.</p>
<p>From BENU:</p>
<p>BENU introduces its new collection of fountain pens – AstroGem. This collection was inspired by the shape of the interstellar asteroid, Oumuamua, and the numerous social media comments suggesting that the asteroid has a “BENU-like vibe”. Featuring 7 unique designs, each named after a famous asteroid with edgy shapes and uneven facets, these pens are own interpretation of asteroids- proving that even interstellar objects can be flamboyant and colorful if designed by BENU!</p>
<p><i>We do our best to photograph the pens to show how they will appear in person, but due to the nature of the material, there will be some variation in the pattern seen here. This adds an element of uniqueness to the pen, with no two patterns being exactly the same. We cannot honor special requests.</i></p>
<p>Click to shop all compatible <a title=""Short Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/short-standard-international-cartridges"" target=""_blank"">short</a> or <a title=""Long Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/long-standard-international-cartridges"" target=""_blank"">long</a> standard international ink cartridges.</p>",https://www.gouletpens.com/products/benu-astrogem-fountain-pen-midas,https://cdn.shopify.com/s/files/1/2603/2528/files/Benu-AstroGem-Midas-OW-2.jpg?v=1755005691
7230438834219,BENU AstroGem Fountain Pen - Pallas,benu-astrogem-fountain-pen-pallas,BENU,Fountain Pens,175.0,175.0,USD,"[""bis-hidden"", ""HideOOS"", ""Pens"", ""Products"", ""Showstopper Pens"", ""Sparkle""]","{""Nib Size"": [""Fine"", ""Medium"", ""Broad""]}","<p>This BENU AstroGem fountain pen features a black base with blue and silver glitter patches throughout. It has a silver Schmidt #6 stainless steel nib, a translucent vibrant blue resin grip and centerband, a silver clip, and pushes to post.</p>
<p>It comes with a standard international converter and one long blue ink cartridge. You can also fill the whole barrel with ink to use as an eyedropper pen with a massive ink capacity.</p>
<p>From BENU:</p>
<p>BENU introduces its new collection of fountain pens – AstroGem. This collection was inspired by the shape of the interstellar asteroid, Oumuamua, and the numerous social media comments suggesting that the asteroid has a “BENU-like vibe”. Featuring 7 unique designs, each named after a famous asteroid with edgy shapes and uneven facets, these pens are own interpretation of asteroids- proving that even interstellar objects can be flamboyant and colorful if designed by BENU!</p>
<p><i>We do our best to photograph the pens to show how they will appear in person, but due to the nature of the material, there will be some variation in the pattern seen here. This adds an element of uniqueness to the pen, with no two patterns being exactly the same. We cannot honor special requests.</i></p>
<p>Click to shop all compatible <a title=""Short Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/short-standard-international-cartridges"" target=""_blank"">short</a> or <a title=""Long Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/long-standard-international-cartridges"" target=""_blank"">long</a> standard international ink cartridges.</p>",https://www.gouletpens.com/products/benu-astrogem-fountain-pen-pallas,https://cdn.shopify.com/s/files/1/2603/2528/files/Benu-AstroGem-Pallas-OW-2.jpg?v=1754944661
7343918088235,BENU Briolette Fountain Pen - Amethyst Tide,benu-briolette-fountain-pen-amethyst-tide,BENU,Fountain Pens,120.0,120.0,USD,"[""Next Level Pens"", ""Ombre"", ""Pens"", ""Products"", ""Sparkle""]","{""Nib Size"": [""Extra-Fine"", ""Fine"", ""Medium""]}","<p>A beautiful gemstone deserves a beautiful cut! To highlight the visual appeal of the material, the BENU Briolette has its entire body covered with long facets. Each cut gives the pens specific shapes that prevent them from rolling and enables the true color and brilliance of the material to emerge.</p>
<p>The Amethyst Tide resin features a beautiful blend of blue and purple with multi-colored sparkles throughout. It has a gold-plated #5 Schmidt stainless steel nib, a translucent purple resin grip and accents, is clipless, and does not post. This fountain pen comes with a standard international converter and one long blue ink cartridge.</p>
<p><meta charset=""utf-8""><i data-stringify-type=""italic"">We do our best to photograph the pens to show how they will appear in person, but due to the nature of the material, there will be some variation in the pattern seen here. This adds an element of uniqueness to the pen, with no two patterns being exactly the same. We cannot honor special requests.</i></p>
<p>Click to shop all compatible <a title=""Short Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/short-standard-international-cartridges"" target=""_blank"">short</a> or <a title=""Long Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/long-standard-international-cartridges"" target=""_blank"">long</a> standard international ink cartridges.</p>",https://www.gouletpens.com/products/benu-briolette-fountain-pen-amethyst-tide,https://cdn.shopify.com/s/files/1/2603/2528/files/BENU-Briolette-AmethystTide-OW-2-sq.jpg?v=1754944002
7343916548139,BENU Briolette Fountain Pen - Fiery Azure,benu-briolette-fountain-pen-fiery-azure,BENU,Fountain Pens,120.0,120.0,USD,"[""bis-hidden"", ""HideOOS"", ""Next Level Pens"", ""Ombre"", ""Pens"", ""Products"", ""Sparkle""]","{""Nib Size"": [""Extra-Fine"", ""Fine"", ""Medium""]}","<p>A beautiful gemstone deserves a beautiful cut! To highlight the visual appeal of the material, the BENU Briolette has its entire body covered with long facets. Each cut gives the pens specific shapes that prevent them from rolling and enables the true color and brilliance of the material to emerge.</p>
<p>The Fiery Azure resin features a beautiful blend of red and blue colors, with matching sparkles. It has a gold-plated #5 Schmidt stainless steel nib, a translucent red resin grip and accents, is clipless, and does not post. This fountain pen comes with a standard international converter and one long blue ink cartridge.</p>
<p><meta charset=""utf-8""><i data-stringify-type=""italic"">We do our best to photograph the pens to show how they will appear in person, but due to the nature of the material, there will be some variation in the pattern seen here. This adds an element of uniqueness to the pen, with no two patterns being exactly the same. We cannot honor special requests.</i></p>
<p>Click to shop all compatible <a href=""https://www.gouletpens.com/collections/short-standard-international-cartridges"" title=""Short Standard International Ink Cartridges"" target=""_blank"">short</a> or <a href=""https://www.gouletpens.com/collections/long-standard-international-cartridges"" title=""Long Standard International Ink Cartridges"" target=""_blank"">long</a> standard international ink cartridges.</p>",https://www.gouletpens.com/products/benu-briolette-fountain-pen-fiery-azure,https://cdn.shopify.com/s/files/1/2603/2528/files/BENU-Briolette-FieryAzure-OW-2-sq.jpg?v=1754944094
7343917170731,BENU Briolette Fountain Pen - Ruby Forest,benu-briolette-fountain-pen-ruby-forest,BENU,Fountain Pens,120.0,120.0,USD,"[""bis-hidden"", ""HideOOS"", ""Next Level Pens"", ""Pens"", ""Products"", ""Sparkle""]","{""Nib Size"": [""Extra-Fine"", ""Fine"", ""Medium""]}","<p>A beautiful gemstone deserves a beautiful cut! To highlight the visual appeal of the material, the BENU Briolette has its entire body covered with long facets. Each cut gives the pens specific shapes that prevent them from rolling and enables the true color and brilliance of the material to emerge.</p>
<p>The Ruby Forest resin features a beautiful blend of red colors with multicolored sparkles throughout. It has a gold-plated #5 Schmidt stainless steel nib, a black resin grip and accents, is clipless, and does not post. This fountain pen comes with a standard international converter and one long blue ink cartridge.</p>
<p><meta charset=""utf-8""><i data-stringify-type=""italic"">We do our best to photograph the pens to show how they will appear in person, but due to the nature of the material, there will be some variation in the pattern seen here. This adds an element of uniqueness to the pen, with no two patterns being exactly the same. We cannot honor special requests.</i></p>
<p>Click to shop all compatible <a title=""Short Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/short-standard-international-cartridges"" target=""_blank"">short</a> or <a title=""Long Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/long-standard-international-cartridges"" target=""_blank"">long</a> standard international ink cartridges.</p>",https://www.gouletpens.com/products/benu-briolette-fountain-pen-ruby-forest,https://cdn.shopify.com/s/files/1/2603/2528/files/BENU-Briolette-RubyForest-OW-2-sq.jpg?v=1754944162
7343917563947,BENU Briolette Fountain Pen - Starlit Oasis,benu-briolette-fountain-pen-starlit-oasis,BENU,Fountain Pens,120.0,120.0,USD,"[""Next Level Pens"", ""Ombre"", ""Pens"", ""Products"", ""Sparkle""]","{""Nib Size"": [""Extra-Fine"", ""Fine"", ""Medium""]}","<p>A beautiful gemstone deserves a beautiful cut! To highlight the visual appeal of the material, the BENU Briolette has its entire body covered with long facets. Each cut gives the pens specific shapes that prevent them from rolling and enables the true color and brilliance of the material to emerge.</p>
<p>The Starlit Oasis resin features a beautiful blend of blue and green, with purple sparkles throughout. It has a #5 silver colored Schmidt stainless steel nib, a translucent green resin grip and accents, is clipless, and does not post. This fountain pen comes with a standard international converter and one long blue ink cartridge.</p>
<p><meta charset=""utf-8""><i data-stringify-type=""italic"">We do our best to photograph the pens to show how they will appear in person, but due to the nature of the material, there will be some variation in the pattern seen here. This adds an element of uniqueness to the pen, with no two patterns being exactly the same. We cannot honor special requests.</i></p>
<p>Click to shop all compatible <a title=""Short Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/short-standard-international-cartridges"" target=""_blank"">short</a> or <a title=""Long Standard International Ink Cartridges"" href=""https://www.gouletpens.com/collections/long-standard-international-cartridges"" target=""_blank"">long</a> standard international ink cartridges.</p>",https://www.gouletpens.com/products/benu-briolette-fountain-pen-starlit-oasis,https://cdn.shopify.com/s/files/1/2603/2528/files/BENU-Briolette-StarlitOasis-OW-2-sq.jpg?v=1754944251
